Transport,Vehicle Type,Vehicle Monthly Distance Km,Energy efficiency,Waste Bag Weekly Count,Recycling,Monthly Grocery Bill,Frequency of Traveling by Air,CarbonEmission
public,No Vehicle,1380,No,4,"['Plastic', 'Glass']",282,never,1605
private,lpg,5765,No,5,['Paper'],110,never,3054
walk/bicycle,No Vehicle,92,Yes,6,[],202,very frequently,2902
private,lpg,7797,Yes,7,"['Plastic', 'Glass']",56,frequently,4301
walk/bicycle,No Vehicle,50,Yes,3,['Plastic'],223,very frequently,2308
private,petrol,7629,No,1,"['Plastic', 'Glass', 'Metal']",202,frequently,4132
private,petrol,2367,No,3,"['Paper', 'Glass', 'Metal']",114,frequently,2993
private,petrol,3960,Yes,1,"['Paper', 'Plastic']",141,frequently,3098
walk/bicycle,No Vehicle,42,Yes,2,"['Plastic', 'Metal']",236,rarely,1364
private,lpg,6455,Yes,1,"['Paper', 'Plastic', 'Glass']",95,rarely,2941
walk/bicycle,No Vehicle,41,Sometimes,4,['Paper'],249,frequently,1349
walk/bicycle,No Vehicle,71,Yes,1,"['Plastic', 'Glass']",213,never,1038
walk/bicycle,No Vehicle,39,No,7,"['Plastic', 'Glass']",81,never,1815
walk/bicycle,No Vehicle,50,No,1,"['Glass', 'Metal']",91,very frequently,2566
private,electric,8707,Sometimes,3,"['Plastic', 'Glass', 'Metal']",291,very frequently,2439
private,lpg,167,Yes,2,"['Plastic', 'Metal']",70,very frequently,2056
public,No Vehicle,631,Sometimes,7,"['Paper', 'Plastic', 'Glass', 'Metal']",89,very frequently,2299
public,No Vehicle,194,Sometimes,6,"['Plastic', 'Metal']",121,rarely,1492
walk/bicycle,No Vehicle,46,No,1,"['Paper', 'Plastic', 'Glass']",198,rarely,1692
walk/bicycle,No Vehicle,37,Yes,3,['Paper'],234,frequently,2581
walk/bicycle,No Vehicle,31,Sometimes,2,"['Glass', 'Metal']",84,rarely,950
private,lpg,2880,Sometimes,5,"['Paper', 'Plastic', 'Glass']",182,never,1923
walk/bicycle,No Vehicle,6,Yes,2,['Paper'],275,never,1751
walk/bicycle,No Vehicle,40,Sometimes,6,['Glass'],228,very frequently,2562
walk/bicycle,No Vehicle,1,No,6,"['Paper', 'Plastic']",140,frequently,2456
public,No Vehicle,1341,Sometimes,1,"['Plastic', 'Glass', 'Metal']",232,never,657
public,No Vehicle,393,No,3,"['Paper', 'Metal']",115,very frequently,1758
public,No Vehicle,191,Sometimes,4,"['Plastic', 'Glass']",157,frequently,2184
public,No Vehicle,131,No,1,"['Paper', 'Glass']",156,very frequently,3009
private,diesel,1419,Yes,5,"['Plastic', 'Glass']",252,very frequently,3748
private,electric,9159,No,7,[],162,rarely,1122
private,hybrid,8016,No,3,"['Plastic', 'Metal']",145,never,2810
walk/bicycle,No Vehicle,87,No,3,['Plastic'],214,never,1346
walk/bicycle,No Vehicle,3,Yes,5,"['Paper', 'Plastic', 'Metal']",126,rarely,671
walk/bicycle,No Vehicle,13,Yes,1,"['Paper', 'Glass']",91,frequently,1695
walk/bicycle,No Vehicle,74,No,3,"['Plastic', 'Metal']",205,never,810
private,hybrid,7743,Yes,3,['Paper'],285,frequently,2768
public,No Vehicle,993,Sometimes,7,"['Paper', 'Plastic', 'Glass']",178,never,1033
public,No Vehicle,1997,No,4,"['Paper', 'Plastic', 'Glass']",236,rarely,2046
private,electric,2721,No,6,"['Glass', 'Metal']",286,rarely,2171
walk/bicycle,No Vehicle,5,Yes,7,"['Paper', 'Plastic']",108,rarely,1312
public,No Vehicle,941,No,1,"['Plastic', 'Metal']",76,rarely,1209
private,diesel,8815,Sometimes,2,['Metal'],270,frequently,4017
private,electric,3276,No,1,"['Paper', 'Plastic', 'Glass', 'Metal']",146,rarely,877
private,hybrid,3309,Yes,5,['Paper'],221,never,1856
private,hybrid,2623,No,2,"['Glass', 'Metal']",230,never,2197
private,diesel,7915,Sometimes,1,"['Paper', 'Plastic']",295,very frequently,4281
private,lpg,8897,Yes,3,['Glass'],177,frequently,3480
walk/bicycle,No Vehicle,19,Sometimes,1,"['Paper', 'Glass', 'Metal']",189,never,953
private,electric,3662,Yes,2,"['Plastic', 'Metal']",174,frequently,2046
private,petrol,611,Sometimes,6,"['Plastic', 'Glass', 'Metal']",193,never,2521
public,No Vehicle,1431,Yes,6,['Paper'],238,very frequently,3551
public,No Vehicle,1978,Yes,3,"['Paper', 'Plastic']",101,never,1459
walk/bicycle,No Vehicle,92,No,2,['Glass'],99,very frequently,2492
walk/bicycle,No Vehicle,82,No,1,"['Glass', 'Metal']",50,frequently,2411
public,No Vehicle,1851,Yes,7,"['Paper', 'Plastic', 'Glass']",71,very frequently,2761
public,No Vehicle,1224,Sometimes,3,"['Plastic', 'Metal']",232,rarely,1500
private,electric,8219,Sometimes,5,['Glass'],247,never,1708
public,No Vehicle,1390,No,4,['Metal'],222,never,1717
public,No Vehicle,434,No,1,"['Paper', 'Plastic']",61,frequently,2135
private,hybrid,7460,Sometimes,6,"['Paper', 'Plastic']",137,never,2042
walk/bicycle,No Vehicle,15,Sometimes,1,"['Paper', 'Metal']",157,rarely,1221
private,diesel,4686,No,2,"['Paper', 'Plastic', 'Glass']",174,very frequently,3473
walk/bicycle,No Vehicle,88,Sometimes,5,"['Plastic', 'Glass', 'Metal']",214,never,1378
walk/bicycle,No Vehicle,40,Yes,2,"['Paper', 'Plastic', 'Metal']",214,very frequently,2135
walk/bicycle,No Vehicle,56,No,6,"['Paper', 'Glass']",66,never,1464
walk/bicycle,No Vehicle,14,Yes,6,"['Plastic', 'Metal']",123,very frequently,2816
public,No Vehicle,108,No,1,"['Paper', 'Plastic']",105,very frequently,2210
private,electric,5168,No,3,"['Paper', 'Plastic']",125,never,1552
private,petrol,672,No,3,"['Paper', 'Plastic', 'Metal']",280,frequently,2406
walk/bicycle,No Vehicle,94,Sometimes,3,['Metal'],238,very frequently,3004
private,petrol,3114,Sometimes,3,['Paper'],270,rarely,2540
private,lpg,7134,Yes,2,"['Paper', 'Plastic', 'Metal']",80,rarely,2424
private,diesel,8609,Yes,6,"['Paper', 'Plastic']",276,rarely,4000
public,No Vehicle,852,No,1,"['Paper', 'Metal']",210,never,1288
public,No Vehicle,1673,Yes,6,"['Paper', 'Glass', 'Metal']",270,rarely,2317
public,No Vehicle,1564,Yes,7,"['Plastic', 'Glass', 'Metal']",152,very frequently,2730
walk/bicycle,No Vehicle,74,Yes,7,['Glass'],247,rarely,1371
private,petrol,2885,Sometimes,4,"['Plastic', 'Glass']",145,rarely,2349
private,petrol,8130,Sometimes,7,"['Plastic', 'Metal']",260,rarely,4536
public,No Vehicle,228,No,3,"['Plastic', 'Glass', 'Metal']",283,very frequently,2987
public,No Vehicle,1162,Sometimes,4,"['Paper', 'Metal']",277,never,1039
public,No Vehicle,71,No,2,"['Paper', 'Plastic', 'Glass']",203,never,1036
private,diesel,6337,Sometimes,4,[],213,frequently,3620
public,No Vehicle,1649,Sometimes,4,"['Paper', 'Plastic', 'Metal']",135,rarely,1009
private,diesel,6159,Yes,2,"['Plastic', 'Glass', 'Metal']",96,very frequently,2895
private,diesel,9884,Yes,1,['Plastic'],162,never,4294
private,hybrid,4060,No,7,"['Glass', 'Metal']",233,frequently,3429
walk/bicycle,No Vehicle,68,Yes,7,"['Paper', 'Glass']",262,rarely,1334
walk/bicycle,No Vehicle,5,No,7,['Glass'],176,very frequently,3697
public,No Vehicle,702,Sometimes,4,['Metal'],176,rarely,1494
walk/bicycle,No Vehicle,2,No,4,"['Plastic', 'Metal']",147,very frequently,2779
walk/bicycle,No Vehicle,42,No,1,"['Plastic', 'Glass', 'Metal']",83,rarely,993
public,No Vehicle,274,Sometimes,5,['Plastic'],205,never,1944
public,No Vehicle,590,No,3,"['Plastic', 'Metal']",125,frequently,1474
private,diesel,84,Yes,1,[],145,frequently,1880
private,diesel,6908,Yes,3,[],236,frequently,3535
walk/bicycle,No Vehicle,52,Sometimes,7,"['Paper', 'Plastic', 'Glass']",101,rarely,1644
private,lpg,121,Sometimes,2,"['Paper', 'Glass', 'Metal']",77,frequently,1268
walk/bicycle,No Vehicle,30,Sometimes,7,"['Paper', 'Metal']",241,rarely,1529
public,No Vehicle,1336,Yes,4,['Glass'],124,rarely,2076
walk/bicycle,No Vehicle,89,Sometimes,4,['Glass'],82,never,1850
public,No Vehicle,1412,Sometimes,6,"['Paper', 'Plastic', 'Metal']",262,never,1000
walk/bicycle,No Vehicle,4,Sometimes,3,[],254,never,1485
public,No Vehicle,1924,No,1,"['Paper', 'Plastic', 'Glass', 'Metal']",76,rarely,1139
walk/bicycle,No Vehicle,64,No,2,"['Paper', 'Plastic', 'Glass', 'Metal']",207,never,682
private,electric,8659,Yes,1,"['Paper', 'Metal']",234,never,926
walk/bicycle,No Vehicle,82,Yes,1,"['Paper', 'Glass']",93,rarely,1037
walk/bicycle,No Vehicle,31,No,4,"['Paper', 'Glass']",76,very frequently,1467
private,electric,5230,Sometimes,3,"['Plastic', 'Glass', 'Metal']",67,rarely,914
public,No Vehicle,450,No,4,"['Paper', 'Plastic']",101,frequently,1741
public,No Vehicle,441,Yes,2,"['Plastic', 'Metal']",73,very frequently,2742
private,lpg,6160,No,2,"['Paper', 'Plastic', 'Metal']",280,rarely,2988
walk/bicycle,No Vehicle,35,Sometimes,4,"['Plastic', 'Glass']",85,frequently,2160
walk/bicycle,No Vehicle,57,Yes,6,['Glass'],256,frequently,3098
walk/bicycle,No Vehicle,7,Sometimes,3,"['Paper', 'Plastic', 'Glass']",193,very frequently,2764
private,hybrid,5469,No,4,"['Paper', 'Plastic']",145,frequently,2335
walk/bicycle,No Vehicle,6,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",282,frequently,1462
public,No Vehicle,21,Sometimes,3,"['Paper', 'Glass', 'Metal']",133,frequently,2356
public,No Vehicle,1127,No,1,"['Paper', 'Plastic', 'Glass']",232,rarely,1731
walk/bicycle,No Vehicle,7,No,2,"['Paper', 'Glass']",129,never,1162
private,electric,6028,No,3,['Metal'],140,frequently,1884
private,lpg,1669,Sometimes,3,"['Paper', 'Glass']",155,rarely,1505
public,No Vehicle,1972,Yes,6,"['Plastic', 'Metal']",171,never,1252
public,No Vehicle,684,No,6,"['Plastic', 'Glass']",274,never,1360
walk/bicycle,No Vehicle,13,Sometimes,4,"['Plastic', 'Glass']",264,very frequently,3824
private,lpg,8061,Sometimes,7,"['Paper', 'Plastic', 'Glass', 'Metal']",98,very frequently,4580
private,lpg,2544,Sometimes,7,"['Paper', 'Plastic', 'Glass', 'Metal']",252,never,2833
walk/bicycle,No Vehicle,46,Yes,1,"['Paper', 'Glass', 'Metal']",256,rarely,1131
public,No Vehicle,62,No,1,[],209,very frequently,2382
private,electric,4447,Sometimes,4,['Plastic'],269,frequently,2649
private,diesel,4303,Yes,7,"['Paper', 'Plastic']",113,rarely,2706
private,lpg,3176,Sometimes,5,"['Paper', 'Plastic', 'Glass', 'Metal']",270,very frequently,3045
private,diesel,7255,Sometimes,2,['Paper'],72,rarely,3134
walk/bicycle,No Vehicle,62,No,7,['Paper'],101,very frequently,3619
private,petrol,6254,Yes,6,"['Plastic', 'Glass', 'Metal']",196,very frequently,5013
walk/bicycle,No Vehicle,93,Yes,3,"['Paper', 'Glass']",277,very frequently,2443
walk/bicycle,No Vehicle,86,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",91,never,488
public,No Vehicle,357,Sometimes,7,"['Paper', 'Glass']",97,rarely,2409
private,petrol,8725,Sometimes,7,"['Plastic', 'Metal']",244,very frequently,7159
public,No Vehicle,1753,Yes,5,['Paper'],108,very frequently,2670
walk/bicycle,No Vehicle,45,No,1,"['Paper', 'Plastic', 'Glass', 'Metal']",106,very frequently,2321
public,No Vehicle,292,Sometimes,5,['Paper'],103,rarely,1574
public,No Vehicle,1739,Yes,6,"['Paper', 'Plastic', 'Metal']",220,very frequently,2471
walk/bicycle,No Vehicle,2,No,6,['Paper'],287,frequently,2541
walk/bicycle,No Vehicle,38,Yes,3,"['Paper', 'Plastic', 'Glass']",123,very frequently,2298
public,No Vehicle,970,No,1,"['Plastic', 'Metal']",259,rarely,1445
private,lpg,8616,Sometimes,7,"['Paper', 'Plastic', 'Glass', 'Metal']",172,never,4240
public,No Vehicle,635,Yes,3,"['Paper', 'Metal']",227,very frequently,2650
private,electric,2914,No,1,"['Paper', 'Glass', 'Metal']",161,never,1033
walk/bicycle,No Vehicle,92,No,3,"['Plastic', 'Glass', 'Metal']",146,rarely,990
walk/bicycle,No Vehicle,67,Yes,6,"['Paper', 'Metal']",151,never,937
private,diesel,6972,No,5,"['Plastic', 'Metal']",244,frequently,3483
private,petrol,9812,No,3,"['Paper', 'Plastic', 'Metal']",193,very frequently,6515
public,No Vehicle,1057,No,7,"['Paper', 'Plastic', 'Metal']",255,very frequently,2929
private,lpg,3295,No,1,"['Plastic', 'Glass']",125,rarely,2377
walk/bicycle,No Vehicle,97,No,1,"['Paper', 'Plastic', 'Metal']",52,frequently,1252
private,electric,9705,No,6,[],252,rarely,1874
private,diesel,3105,Sometimes,6,"['Paper', 'Glass', 'Metal']",69,rarely,1579
walk/bicycle,No Vehicle,6,Sometimes,1,"['Paper', 'Glass']",139,never,974
walk/bicycle,No Vehicle,34,Yes,2,"['Paper', 'Metal']",242,very frequently,2607
public,No Vehicle,1328,No,2,"['Paper', 'Metal']",224,frequently,2054
public,No Vehicle,779,Sometimes,7,['Metal'],242,never,1662
public,No Vehicle,913,Yes,4,['Paper'],193,rarely,1463
private,electric,5464,No,1,"['Paper', 'Plastic', 'Glass', 'Metal']",79,rarely,1143
private,diesel,3912,Sometimes,6,[],222,never,2790
walk/bicycle,No Vehicle,89,Sometimes,7,"['Paper', 'Metal']",271,rarely,2629
private,hybrid,4359,No,5,"['Paper', 'Glass']",193,frequently,2338
private,diesel,7873,No,7,"['Paper', 'Plastic']",156,rarely,3984
public,No Vehicle,374,Sometimes,2,"['Paper', 'Glass', 'Metal']",168,rarely,1253
public,No Vehicle,1218,No,1,['Glass'],175,rarely,1480
walk/bicycle,No Vehicle,1,No,1,"['Paper', 'Plastic']",212,rarely,1556
public,No Vehicle,638,Yes,7,[],101,never,1847
private,hybrid,8641,Sometimes,4,"['Plastic', 'Glass']",296,rarely,2778
walk/bicycle,No Vehicle,46,No,5,['Plastic'],66,never,1828
private,hybrid,2871,Yes,1,['Paper'],210,rarely,1684
public,No Vehicle,978,Yes,1,"['Paper', 'Plastic', 'Glass']",189,very frequently,3503
public,No Vehicle,1585,No,1,"['Glass', 'Metal']",225,very frequently,2540
walk/bicycle,No Vehicle,92,Sometimes,2,"['Plastic', 'Glass', 'Metal']",139,never,838
private,lpg,4197,No,4,"['Plastic', 'Glass', 'Metal']",217,very frequently,3559
public,No Vehicle,199,No,4,"['Plastic', 'Glass', 'Metal']",275,frequently,1237
public,No Vehicle,732,Sometimes,4,"['Paper', 'Metal']",81,frequently,1406
public,No Vehicle,584,Sometimes,6,['Plastic'],270,frequently,1812
public,No Vehicle,476,Sometimes,4,"['Paper', 'Plastic', 'Glass']",219,very frequently,2784
public,No Vehicle,1507,Sometimes,4,"['Glass', 'Metal']",207,very frequently,2554
private,electric,6915,Sometimes,5,"['Paper', 'Glass']",131,rarely,1203
public,No Vehicle,133,No,4,"['Paper', 'Plastic', 'Glass']",56,rarely,1167
walk/bicycle,No Vehicle,9,Yes,1,"['Paper', 'Metal']",184,rarely,1279
walk/bicycle,No Vehicle,34,No,6,"['Plastic', 'Glass', 'Metal']",250,never,842
private,electric,9359,Yes,2,"['Paper', 'Plastic', 'Metal']",85,very frequently,2654
walk/bicycle,No Vehicle,62,Sometimes,1,"['Paper', 'Plastic', 'Glass']",126,never,830
public,No Vehicle,1681,No,3,"['Glass', 'Metal']",297,rarely,1624
walk/bicycle,No Vehicle,93,Yes,3,"['Paper', 'Plastic', 'Metal']",210,never,1439
walk/bicycle,No Vehicle,56,No,1,"['Glass', 'Metal']",245,very frequently,2904
private,lpg,3509,Sometimes,7,['Metal'],293,very frequently,4103
walk/bicycle,No Vehicle,37,No,2,"['Paper', 'Plastic', 'Glass', 'Metal']",173,rarely,1060
private,lpg,6731,Yes,2,['Paper'],123,very frequently,4203
public,No Vehicle,1388,Sometimes,1,"['Paper', 'Plastic', 'Glass']",75,rarely,856
private,electric,159,No,7,"['Plastic', 'Metal']",256,frequently,2433
private,petrol,7976,No,5,"['Paper', 'Plastic', 'Metal']",73,never,4483
public,No Vehicle,1032,Yes,7,"['Paper', 'Plastic']",273,never,1661
public,No Vehicle,1351,No,6,"['Paper', 'Plastic', 'Metal']",129,rarely,1484
public,No Vehicle,436,Yes,2,[],65,very frequently,2955
private,lpg,4595,Yes,4,['Metal'],231,rarely,2590
public,No Vehicle,770,Sometimes,4,"['Paper', 'Plastic', 'Metal']",271,never,1166
public,No Vehicle,1632,No,2,['Metal'],137,rarely,1742
public,No Vehicle,69,Sometimes,5,"['Glass', 'Metal']",54,rarely,1628
public,No Vehicle,1876,No,4,"['Glass', 'Metal']",219,never,2090
public,No Vehicle,158,Sometimes,3,"['Paper', 'Plastic', 'Metal']",68,never,1327
public,No Vehicle,838,Yes,6,"['Glass', 'Metal']",289,frequently,2673
private,diesel,2723,No,7,"['Plastic', 'Glass']",76,rarely,2664
public,No Vehicle,593,Sometimes,2,['Paper'],67,frequently,1239
private,petrol,4910,Sometimes,5,"['Plastic', 'Glass', 'Metal']",296,never,2991
walk/bicycle,No Vehicle,61,Sometimes,7,"['Plastic', 'Glass']",244,rarely,1688
walk/bicycle,No Vehicle,54,Yes,2,"['Paper', 'Metal']",105,rarely,1563
private,diesel,4425,Sometimes,2,['Plastic'],275,rarely,3127
walk/bicycle,No Vehicle,85,Yes,6,['Plastic'],83,very frequently,4095
private,hybrid,7434,Yes,6,"['Paper', 'Plastic', 'Glass', 'Metal']",162,rarely,2486
private,petrol,7258,No,1,"['Paper', 'Metal']",209,frequently,5082
walk/bicycle,No Vehicle,7,Yes,5,['Paper'],76,never,2160
walk/bicycle,No Vehicle,74,No,3,"['Paper', 'Plastic']",72,frequently,2091
walk/bicycle,No Vehicle,37,No,5,"['Paper', 'Glass']",282,never,1696
private,electric,1170,Yes,1,"['Glass', 'Metal']",298,never,1009
private,hybrid,6890,Yes,2,"['Paper', 'Glass', 'Metal']",170,never,2134
public,No Vehicle,506,Yes,4,['Metal'],234,rarely,2047
walk/bicycle,No Vehicle,99,Sometimes,6,['Plastic'],282,never,2190
private,electric,1695,Yes,6,"['Paper', 'Metal']",215,never,1177
private,electric,5671,Yes,4,"['Plastic', 'Glass']",175,frequently,1814
private,electric,8553,Yes,6,"['Plastic', 'Glass', 'Metal']",190,never,1284
public,No Vehicle,1418,Yes,7,"['Paper', 'Metal']",73,rarely,1839
public,No Vehicle,382,Sometimes,3,"['Paper', 'Plastic', 'Glass']",214,rarely,1026
private,lpg,5005,Yes,6,"['Paper', 'Plastic', 'Glass']",127,never,2600
walk/bicycle,No Vehicle,77,No,4,"['Paper', 'Glass', 'Metal']",62,very frequently,2189
public,No Vehicle,194,Sometimes,2,[],199,rarely,1500
public,No Vehicle,1446,Sometimes,6,"['Paper', 'Plastic', 'Metal']",256,frequently,1685
walk/bicycle,No Vehicle,58,Sometimes,6,"['Paper', 'Glass']",223,frequently,1914
private,hybrid,7570,No,2,"['Paper', 'Glass']",185,rarely,2845
private,hybrid,8298,Sometimes,2,"['Glass', 'Metal']",125,rarely,2152
private,electric,3216,Sometimes,1,"['Paper', 'Plastic', 'Glass']",294,very frequently,2577
private,lpg,9945,Yes,3,"['Paper', 'Plastic', 'Glass']",187,rarely,4220
public,No Vehicle,499,Yes,6,"['Plastic', 'Glass', 'Metal']",155,never,1199
public,No Vehicle,1426,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",277,frequently,1552
private,electric,95,Yes,5,"['Paper', 'Plastic']",296,very frequently,3294
private,diesel,1467,Sometimes,6,"['Glass', 'Metal']",213,very frequently,3243
public,No Vehicle,1172,No,2,"['Paper', 'Plastic', 'Metal']",269,never,1675
public,No Vehicle,1212,No,7,[],86,rarely,1304
walk/bicycle,No Vehicle,99,No,6,"['Paper', 'Plastic']",228,very frequently,2878
private,hybrid,2787,Yes,2,"['Paper', 'Metal']",243,never,1126
walk/bicycle,No Vehicle,7,Sometimes,3,"['Paper', 'Plastic', 'Metal']",276,rarely,1489
private,electric,3347,Yes,4,"['Paper', 'Plastic', 'Glass', 'Metal']",292,frequently,1954
public,No Vehicle,1475,Sometimes,7,"['Plastic', 'Glass']",282,frequently,1957
public,No Vehicle,1873,No,7,"['Glass', 'Metal']",74,very frequently,3778
public,No Vehicle,1661,Yes,2,"['Glass', 'Metal']",208,very frequently,2069
public,No Vehicle,774,No,2,"['Paper', 'Plastic', 'Metal']",260,frequently,2421
public,No Vehicle,1043,No,2,['Metal'],294,very frequently,2801
private,petrol,9006,Sometimes,4,"['Paper', 'Metal']",52,frequently,5547
walk/bicycle,No Vehicle,15,No,2,['Paper'],229,frequently,2343
public,No Vehicle,1199,No,5,"['Paper', 'Metal']",291,never,2232
walk/bicycle,No Vehicle,20,No,2,"['Paper', 'Plastic']",184,frequently,2309
