Transport,Vehicle Type,Vehicle Monthly Distance Km,Energy efficiency,Waste Bag Weekly Count,Recycling,Monthly Grocery Bill,Frequency of Traveling by Air,CarbonEmission
1,0,1157,0,5,1,134,1,1411
1,0,1380,0,4,12,282,1,1605
0,4,5765,0,5,10,110,1,3054
2,0,92,2,6,15,202,3,2902
0,4,7797,2,7,12,56,0,4301
2,0,50,2,3,14,223,3,2308
0,5,7629,0,1,11,202,0,4132
0,5,2367,0,3,3,114,0,2993
0,5,3960,2,1,9,141,0,3098
2,0,42,2,2,13,236,2,1364
0,4,6455,2,1,7,95,2,2941
2,0,41,1,4,10,249,0,1349
2,0,71,2,1,12,213,1,1038
2,0,39,0,7,12,81,1,1815
2,0,50,0,1,0,91,3,2566
0,2,8707,1,3,11,291,3,2439
0,4,167,2,2,13,70,3,2056
1,0,631,1,7,6,89,3,2299
1,0,194,1,6,13,121,2,1492
2,0,46,0,1,7,198,2,1692
2,0,37,2,3,10,234,0,2581
2,0,31,1,2,0,84,2,950
0,4,2880,1,5,7,182,1,1923
2,0,6,2,2,10,275,1,1751
2,0,40,1,6,1,228,3,2562
2,0,1,0,6,9,140,0,2456
1,0,1341,1,1,11,232,1,657
1,0,393,0,3,5,115,3,1758
1,0,191,1,4,12,157,0,2184
1,0,131,0,1,4,156,3,3009
0,1,1419,2,5,12,252,3,3748
0,2,9159,0,7,15,162,2,1122
0,3,8016,0,3,13,145,1,2810
2,0,87,0,3,14,214,1,1346
2,0,3,2,5,8,126,2,671
2,0,13,2,1,4,91,0,1695
2,0,74,0,3,13,205,1,810
0,3,7743,2,3,10,285,0,2768
1,0,993,1,7,7,178,1,1033
1,0,1997,0,4,7,236,2,2046
0,2,2721,0,6,0,286,2,2171
2,0,5,2,7,9,108,2,1312
1,0,941,0,1,13,76,2,1209
0,1,8815,1,2,2,270,0,4017
0,2,3276,0,1,6,146,2,877
0,3,3309,2,5,10,221,1,1856
0,3,2623,0,2,0,230,1,2197
0,1,7915,1,1,9,295,3,4281
0,4,8897,2,3,1,177,0,3480
2,0,19,1,1,3,189,1,953
0,2,3662,2,2,13,174,0,2046
0,5,611,1,6,11,193,1,2521
1,0,1431,2,6,10,238,3,3551
1,0,1978,2,3,9,101,1,1459
2,0,92,0,2,1,99,3,2492
2,0,82,0,1,0,50,0,2411
1,0,1851,2,7,7,71,3,2761
1,0,1224,1,3,13,232,2,1500
0,2,8219,1,5,1,247,1,1708
1,0,1390,0,4,2,222,1,1717
1,0,434,0,1,9,61,0,2135
0,3,7460,1,6,9,137,1,2042
2,0,15,1,1,5,157,2,1221
0,1,4686,0,2,7,174,3,3473
2,0,88,1,5,11,214,1,1378
2,0,40,2,2,8,214,3,2135
2,0,56,0,6,4,66,1,1464
2,0,14,2,6,13,123,3,2816
1,0,108,0,1,9,105,3,2210
0,2,5168,0,3,9,125,1,1552
0,5,672,0,3,8,280,0,2406
2,0,94,1,3,2,238,3,3004
0,5,3114,1,3,10,270,2,2540
0,4,7134,2,2,8,80,2,2424
0,1,8609,2,6,9,276,2,4000
1,0,852,0,1,5,210,1,1288
1,0,1673,2,6,3,270,2,2317
1,0,1564,2,7,11,152,3,2730
2,0,74,2,7,1,247,2,1371
0,5,2885,1,4,12,145,2,2349
0,5,8130,1,7,13,260,2,4536
1,0,228,0,3,11,283,3,2987
1,0,1162,1,4,5,277,1,1039
1,0,71,0,2,7,203,1,1036
0,1,6337,1,4,15,213,0,3620
1,0,1649,1,4,8,135,2,1009
0,1,6159,2,2,11,96,3,2895
0,1,9884,2,1,14,162,1,4294
0,3,4060,0,7,0,233,0,3429
2,0,68,2,7,4,262,2,1334
2,0,5,0,7,1,176,3,3697
1,0,702,1,4,2,176,2,1494
2,0,2,0,4,13,147,3,2779
2,0,42,0,1,11,83,2,993
1,0,274,1,5,14,205,1,1944
1,0,590,0,3,13,125,0,1474
0,1,84,2,1,15,145,0,1880
0,1,6908,2,3,15,236,0,3535
2,0,52,1,7,7,101,2,1644
0,4,121,1,2,3,77,0,1268
2,0,30,1,7,5,241,2,1529
1,0,1336,2,4,1,124,2,2076
2,0,89,1,4,1,82,1,1850
1,0,1412,1,6,8,262,1,1000
2,0,4,1,3,15,254,1,1485
1,0,1924,0,1,6,76,2,1139
2,0,64,0,2,6,207,1,682
0,2,8659,2,1,5,234,1,926
2,0,82,2,1,4,93,2,1037
2,0,31,0,4,4,76,3,1467
0,2,5230,1,3,11,67,2,914
1,0,450,0,4,9,101,0,1741
1,0,441,2,2,13,73,3,2742
0,4,6160,0,2,8,280,2,2988
2,0,35,1,4,12,85,0,2160
2,0,57,2,6,1,256,0,3098
2,0,7,1,3,7,193,3,2764
0,3,5469,0,4,9,145,0,2335
2,0,6,1,3,6,282,0,1462
1,0,21,1,3,3,133,0,2356
1,0,1127,0,1,7,232,2,1731
2,0,7,0,2,4,129,1,1162
0,2,6028,0,3,2,140,0,1884
0,4,1669,1,3,4,155,2,1505
1,0,1972,2,6,13,171,1,1252
1,0,684,0,6,12,274,1,1360
2,0,13,1,4,12,264,3,3824
0,4,8061,1,7,6,98,3,4580
0,4,2544,1,7,6,252,1,2833
2,0,46,2,1,3,256,2,1131
1,0,62,0,1,15,209,3,2382
0,2,4447,1,4,14,269,0,2649
0,1,4303,2,7,9,113,2,2706
0,4,3176,1,5,6,270,3,3045
0,1,7255,1,2,10,72,2,3134
2,0,62,0,7,10,101,3,3619
0,5,6254,2,6,11,196,3,5013
2,0,93,2,3,4,277,3,2443
2,0,86,1,3,6,91,1,488
1,0,357,1,7,4,97,2,2409
0,5,8725,1,7,13,244,3,7159
1,0,1753,2,5,10,108,3,2670
2,0,45,0,1,6,106,3,2321
1,0,292,1,5,10,103,2,1574
1,0,1739,2,6,8,220,3,2471
2,0,2,0,6,10,287,0,2541
2,0,38,2,3,7,123,3,2298
1,0,970,0,1,13,259,2,1445
0,4,8616,1,7,6,172,1,4240
1,0,635,2,3,5,227,3,2650
0,2,2914,0,1,3,161,1,1033
2,0,92,0,3,11,146,2,990
2,0,67,2,6,5,151,1,937
0,1,6972,0,5,13,244,0,3483
0,5,9812,0,3,8,193,3,6515
1,0,1057,0,7,8,255,3,2929
0,4,3295,0,1,12,125,2,2377
2,0,97,0,1,8,52,0,1252
0,2,9705,0,6,15,252,2,1874
0,1,3105,1,6,3,69,2,1579
2,0,6,1,1,4,139,1,974
2,0,34,2,2,5,242,3,2607
1,0,1328,0,2,5,224,0,2054
1,0,779,1,7,2,242,1,1662
1,0,913,2,4,10,193,2,1463
0,2,5464,0,1,6,79,2,1143
0,1,3912,1,6,15,222,1,2790
2,0,89,1,7,5,271,2,2629
0,3,4359,0,5,4,193,0,2338
0,1,7873,0,7,9,156,2,3984
1,0,374,1,2,3,168,2,1253
1,0,1218,0,1,1,175,2,1480
2,0,1,0,1,9,212,2,1556
1,0,638,2,7,15,101,1,1847
0,3,8641,1,4,12,296,2,2778
2,0,46,0,5,14,66,1,1828
0,3,2871,2,1,10,210,2,1684
1,0,978,2,1,7,189,3,3503
1,0,1585,0,1,0,225,3,2540
2,0,92,1,2,11,139,1,838
0,4,4197,0,4,11,217,3,3559
1,0,199,0,4,11,275,0,1237
1,0,732,1,4,5,81,0,1406
1,0,584,1,6,14,270,0,1812
1,0,476,1,4,7,219,3,2784
1,0,1507,1,4,0,207,3,2554
0,2,6915,1,5,4,131,2,1203
1,0,133,0,4,7,56,2,1167
2,0,9,2,1,5,184,2,1279
2,0,34,0,6,11,250,1,842
0,2,9359,2,2,8,85,3,2654
2,0,62,1,1,7,126,1,830
1,0,1681,0,3,0,297,2,1624
2,0,93,2,3,8,210,1,1439
2,0,56,0,1,0,245,3,2904
0,4,3509,1,7,2,293,3,4103
2,0,37,0,2,6,173,2,1060
0,4,6731,2,2,10,123,3,4203
1,0,1388,1,1,7,75,2,856
0,2,159,0,7,13,256,0,2433
0,5,7976,0,5,8,73,1,4483
1,0,1032,2,7,9,273,1,1661
1,0,1351,0,6,8,129,2,1484
1,0,436,2,2,15,65,3,2955
0,4,4595,2,4,2,231,2,2590
1,0,770,1,4,8,271,1,1166
1,0,1632,0,2,2,137,2,1742
1,0,69,1,5,0,54,2,1628
1,0,1876,0,4,0,219,1,2090
1,0,158,1,3,8,68,1,1327
1,0,838,2,6,0,289,0,2673
0,1,2723,0,7,12,76,2,2664
1,0,593,1,2,10,67,0,1239
0,5,4910,1,5,11,296,1,2991
2,0,61,1,7,12,244,2,1688
2,0,54,2,2,5,105,2,1563
0,1,4425,1,2,14,275,2,3127
2,0,85,2,6,14,83,3,4095
0,3,7434,2,6,6,162,2,2486
0,5,7258,0,1,5,209,0,5082
2,0,7,2,5,10,76,1,2160
2,0,74,0,3,9,72,0,2091
2,0,37,0,5,4,282,1,1696
0,2,1170,2,1,0,298,1,1009
0,3,6890,2,2,3,170,1,2134
1,0,506,2,4,2,234,2,2047
2,0,99,1,6,14,282,1,2190
0,2,1695,2,6,5,215,1,1177
0,2,5671,2,4,12,175,0,1814
0,2,8553,2,6,11,190,1,1284
1,0,1418,2,7,5,73,2,1839
1,0,382,1,3,7,214,2,1026
0,4,5005,2,6,7,127,1,2600
2,0,77,0,4,3,62,3,2189
1,0,194,1,2,15,199,2,1500
1,0,1446,1,6,8,256,0,1685
2,0,58,1,6,4,223,0,1914
0,3,7570,0,2,4,185,2,2845
0,3,8298,1,2,0,125,2,2152
0,2,3216,1,1,7,294,3,2577
0,4,9945,2,3,7,187,2,4220
1,0,499,2,6,11,155,1,1199
1,0,1426,1,3,6,277,0,1552
0,2,95,2,5,9,296,3,3294
0,1,1467,1,6,0,213,3,3243
1,0,1172,0,2,8,269,1,1675
1,0,1212,0,7,15,86,2,1304
2,0,99,0,6,9,228,3,2878
0,3,2787,2,2,5,243,1,1126
2,0,7,1,3,8,276,2,1489
0,2,3347,2,4,6,292,0,1954
1,0,1475,1,7,12,282,0,1957
1,0,1873,0,7,0,74,3,3778
1,0,1661,2,2,0,208,3,2069
1,0,774,0,2,8,260,0,2421
1,0,1043,0,2,2,294,3,2801
0,5,9006,1,4,5,52,0,5547
2,0,15,0,2,10,229,0,2343
1,0,1199,0,5,5,291,1,2232
2,0,20,0,2,9,184,0,2309
0,1,4058,0,3,3,131,2,2233
2,0,95,2,4,9,288,0,1419
2,0,71,2,5,9,192,0,2087
1,0,1603,0,5,0,175,3,2829
1,0,1595,1,2,2,64,3,3057
2,0,92,1,4,14,62,0,2337
2,0,80,0,3,0,56,0,1651
2,0,21,1,3,10,209,0,2214
2,0,31,0,3,12,136,0,1402
2,0,3,1,2,7,284,3,2317
0,2,2698,2,1,10,276,1,2027
0,2,1580,1,5,1,209,1,1543
0,4,5541,1,3,14,86,2,2522
0,5,7014,1,2,14,238,2,3996
1,0,1122,2,5,7,79,3,2673
0,5,1644,2,3,11,200,1,2235
1,0,1854,2,3,2,214,2,1378
2,0,72,2,6,5,59,3,2939
0,5,4383,1,2,13,235,3,4311
2,0,69,1,7,5,50,0,2107
0,5,5954,0,4,15,122,1,3419
0,1,9258,2,4,10,218,2,3713
0,2,2041,1,1,11,156,0,1484
0,2,2033,1,7,12,289,1,2517
1,0,1958,0,7,7,168,0,1890
2,0,58,1,5,15,242,0,3071
2,0,92,0,4,3,73,0,2073
2,0,93,2,1,9,145,3,2233
0,2,7926,0,5,15,214,1,1644
1,0,1988,0,7,9,117,3,2957
1,0,757,0,4,5,118,0,2278
0,3,8497,1,6,15,292,2,2813
2,0,62,0,4,12,162,0,1983
0,5,5323,1,3,1,209,2,2779
2,0,17,2,5,3,222,3,2212
1,0,5,2,2,15,181,3,2910
1,0,1997,2,1,7,74,2,1051
0,4,7153,1,7,2,120,0,5044
1,0,1301,2,2,9,163,1,1595
0,4,2864,1,7,7,264,0,3745
0,3,6029,1,3,7,252,2,3084
0,2,825,2,7,13,68,0,2280
1,0,660,2,6,1,177,3,3669
1,0,967,2,2,11,94,3,1724
1,0,1111,1,3,14,247,2,1695
1,0,884,0,4,5,144,3,2423
0,1,704,1,6,13,99,0,2130
0,3,2514,1,5,5,278,2,2224
0,5,3208,0,2,7,89,3,3058
1,0,1954,2,1,9,69,3,1994
2,0,92,2,6,12,62,1,1605
1,0,1438,1,4,6,110,2,1751
1,0,1923,1,7,4,223,0,2405
1,0,846,2,4,3,73,0,1941
2,0,65,1,5,12,248,2,2195
2,0,41,2,3,13,145,0,2106
1,0,635,1,4,6,216,2,2516
0,3,9842,1,4,14,255,1,2956
2,0,77,0,1,3,54,0,1678
0,5,7953,0,7,1,189,1,4357
2,0,48,0,3,0,216,0,2249
2,0,86,2,7,5,273,1,776
2,0,18,1,4,0,281,0,2794
2,0,65,1,5,14,171,1,1939
0,3,1844,0,6,3,158,0,2250
2,0,91,1,7,6,198,2,1155
1,0,1749,2,6,3,270,1,1203
0,4,4397,2,6,12,224,3,4031
1,0,1008,1,5,8,186,3,2364
2,0,19,2,5,6,122,3,2446
0,4,6419,1,6,11,158,0,4445
2,0,95,0,3,13,91,2,1202
2,0,8,2,5,13,186,0,1670
0,4,7008,0,4,2,272,3,5133
1,0,1601,0,7,2,90,3,2698
2,0,0,0,7,9,232,1,2092
0,2,1072,2,3,12,222,2,1086
1,0,695,0,6,5,229,3,2835
2,0,42,1,1,6,99,2,987
0,2,9316,2,3,1,238,2,1790
0,4,9507,0,5,12,54,3,6621
1,0,1635,2,7,6,191,0,1749
1,0,810,0,5,7,97,3,2721
0,1,1899,0,6,7,161,2,1900
1,0,103,0,5,3,259,0,1756
2,0,71,1,2,0,147,0,1449
2,0,86,1,1,11,212,2,1400
1,0,818,0,7,3,263,1,1441
0,4,4809,1,4,9,206,3,4031
2,0,92,1,3,0,209,2,1284
0,2,3610,0,2,9,236,0,1733
0,2,5696,1,4,10,110,2,1645
1,0,1795,1,3,6,123,1,1374
2,0,98,2,5,5,297,3,1674
1,0,1895,1,4,5,159,3,2811
1,0,1321,0,4,1,165,1,1007
1,0,824,0,1,4,274,0,1466
1,0,984,2,1,14,282,0,2173
2,0,95,0,6,14,212,0,2420
0,2,9746,0,5,8,80,2,1660
0,5,3315,2,6,5,204,3,3973
2,0,32,2,4,7,98,2,1387
0,5,7885,2,6,2,130,3,6810
2,0,51,0,1,11,59,0,1130
0,4,2916,0,5,5,276,1,2393
2,0,54,0,5,14,273,1,2038
1,0,1758,1,4,3,71,1,1652
1,0,1414,0,4,13,109,0,1475
1,0,479,1,5,15,127,1,1867
2,0,25,0,1,11,281,2,1467
1,0,575,1,6,10,108,2,1873
1,0,23,0,7,5,268,3,2212
1,0,1401,1,7,10,100,3,3044
1,0,197,1,5,15,112,1,1795
1,0,780,2,7,6,107,2,2059
2,0,22,1,4,9,226,0,1681
2,0,56,2,7,12,124,1,1624
1,0,57,1,6,3,159,3,2333
0,3,3805,2,2,10,233,3,3171
0,4,7958,1,6,12,144,1,3492
1,0,137,2,4,13,209,1,1526
2,0,82,2,3,0,118,2,1311
2,0,8,1,7,2,290,0,2570
1,0,298,2,2,6,299,0,2474
1,0,308,1,4,11,99,1,1404
0,4,8198,0,2,2,183,2,4612
1,0,1092,2,2,15,161,3,2911
2,0,20,2,4,5,54,3,2635
2,0,42,0,6,1,52,2,1735
1,0,854,2,5,8,118,3,3119
0,2,1401,2,2,6,120,2,766
0,4,4293,0,6,3,266,1,2297
0,1,5235,0,2,3,229,3,3670
2,0,42,2,6,6,122,3,2822
1,0,317,1,5,9,290,3,2486
1,0,762,1,6,6,244,0,1650
2,0,26,2,7,9,274,3,3202
2,0,99,0,3,8,211,2,1133
2,0,0,0,4,10,116,3,3289
2,0,70,2,5,10,282,3,2426
2,0,70,2,7,14,53,2,2795
0,4,1771,2,3,1,222,1,1608
1,0,1692,1,6,8,153,3,2438
1,0,909,1,6,7,286,1,1528
2,0,81,2,6,9,76,3,3211
0,4,8358,1,5,10,191,0,3941
2,0,67,1,4,7,254,3,2454
1,0,1862,0,5,13,226,0,2198
0,4,3800,1,7,5,266,2,2126
1,0,1287,1,5,8,207,2,1581
1,0,1320,2,1,4,137,0,2153
0,4,7468,0,7,3,95,2,4422
1,0,480,0,2,7,125,1,1667
1,0,1301,0,4,0,279,3,2768
2,0,50,2,5,11,64,0,1493
1,0,1598,2,2,1,183,0,1974
1,0,963,1,6,10,271,0,1783
2,0,3,1,3,7,139,3,2380
2,0,42,1,5,15,244,0,2324
0,4,732,0,7,4,159,2,2262
2,0,25,0,4,9,189,0,2173
0,4,196,0,4,12,187,1,1662
1,0,638,1,4,13,227,2,1781
2,0,50,2,2,1,144,0,2176
2,0,16,1,5,4,196,1,1731
0,3,5393,2,3,0,169,2,2303
2,0,83,1,5,12,123,1,2162
0,5,7749,1,5,3,247,3,6069
1,0,860,2,4,15,289,3,3811
2,0,65,1,2,10,207,1,1097
0,3,2761,2,3,9,295,3,2188
0,2,9445,0,5,7,299,3,3779
1,0,64,2,2,8,57,1,1179
0,2,6726,2,7,4,240,1,848
2,0,81,2,2,5,240,0,2239
2,0,54,1,4,13,82,2,1509
2,0,37,1,6,9,214,3,3058
2,0,18,0,3,4,275,3,1825
2,0,70,1,7,1,131,1,2034
1,0,203,2,7,0,123,3,1997
0,1,5287,2,4,12,190,2,2801
2,0,52,0,6,6,64,3,2753
1,0,1934,2,5,0,276,3,2912
2,0,69,0,2,7,243,1,1642
0,1,4306,0,5,10,136,1,2207
1,0,840,1,1,1,163,2,1283
2,0,53,1,5,14,263,1,1161
1,0,1935,0,3,11,194,3,2156
2,0,32,0,3,3,108,0,1639
0,1,555,2,7,15,271,3,2278
0,3,6898,1,2,15,91,3,2964
1,0,1643,1,1,11,243,1,1183
2,0,57,1,7,2,93,3,2274
1,0,1850,2,2,6,168,2,1544
1,0,1996,0,5,1,179,3,2404
0,1,5413,2,2,6,246,2,2108
2,0,6,1,1,4,231,3,2094
1,0,1727,2,7,1,198,1,1967
2,0,75,2,7,8,267,0,1750
0,5,5499,1,4,1,81,2,3800
0,4,8786,0,2,11,193,1,3266
1,0,1531,0,5,13,183,1,1704
2,0,50,0,7,2,94,1,1974
0,3,5310,2,1,14,296,2,2288
2,0,79,1,4,10,239,1,1397
1,0,1215,2,5,13,87,3,2336
0,3,8809,2,5,2,286,0,3799
2,0,46,0,6,6,117,3,2313
0,2,9285,0,6,9,296,1,1616
2,0,2,1,2,5,241,0,1353
0,3,9352,1,6,1,127,3,5015
0,2,8920,2,2,12,203,0,2179
2,0,25,1,7,13,58,0,1376
2,0,14,2,3,3,261,3,1752
0,5,5278,1,3,15,218,1,3312
2,0,75,1,3,11,192,0,2025
0,4,7148,2,7,2,194,0,3633
2,0,31,0,5,15,92,2,2445
1,0,2,1,2,5,147,0,1151
2,0,88,2,3,8,237,0,2080
1,0,342,0,3,9,274,2,1164
1,0,1962,0,3,4,270,2,1037
0,4,9014,2,3,6,244,3,3949
1,0,1557,0,4,11,267,2,1546
1,0,1537,0,1,7,121,2,1219
1,0,293,2,2,5,259,2,1304
0,3,6180,1,7,7,196,3,3958
2,0,61,2,1,6,54,2,851
2,0,11,2,6,11,63,0,1357
2,0,80,1,4,10,193,2,1869
0,1,8717,0,6,5,183,2,3635
1,0,1604,0,3,8,146,3,2279
0,3,9050,0,5,4,69,3,4851
2,0,86,2,7,9,168,1,1510
2,0,21,2,4,2,253,1,1447
0,3,1760,2,3,7,93,3,2105
1,0,631,1,3,3,270,2,891
1,0,755,0,1,10,170,1,1336
2,0,1,2,4,4,221,0,2207
0,4,6482,2,7,5,191,3,5918
2,0,76,2,3,0,80,2,1514
1,0,1795,0,4,13,100,0,2499
1,0,311,0,2,15,118,0,1632
1,0,1959,1,5,3,265,2,1826
2,0,52,1,5,1,235,1,1656
2,0,14,2,3,7,126,3,2418
1,0,649,1,4,13,155,1,1459
2,0,69,0,4,8,82,1,1874
2,0,29,0,1,12,92,1,1057
2,0,96,1,1,11,94,3,2782
2,0,50,0,7,11,98,1,1809
0,5,1614,2,3,12,184,3,2612
1,0,601,1,5,1,286,0,2866
0,4,4215,2,4,7,243,2,2578
1,0,1890,0,6,12,91,2,1322
1,0,909,1,1,1,92,3,2249
1,0,1046,0,5,9,230,3,3301
1,0,1394,0,7,9,105,3,2599
2,0,15,2,6,6,205,3,2741
0,4,6127,2,7,8,133,1,2467
2,0,98,0,4,5,151,1,1579
1,0,1372,2,7,0,57,1,2456
1,0,1978,1,7,12,251,3,2161
1,0,1108,2,7,1,113,1,1565
1,0,1957,0,2,11,138,2,2271
1,0,3,0,2,14,79,3,3439
1,0,415,0,6,7,64,0,2573
1,0,1818,2,4,14,291,2,1544
1,0,639,2,7,3,148,1,791
1,0,388,2,3,12,275,2,1264
1,0,804,0,7,11,289,0,3011
0,1,4084,0,3,6,84,1,2780
2,0,30,1,2,15,244,2,1273
1,0,1488,0,3,10,64,2,1332
1,0,447,2,5,15,179,2,1594
1,0,1476,0,7,9,263,2,2322
1,0,1368,1,4,9,268,1,1410
2,0,8,0,1,15,128,3,3159
1,0,1227,2,2,12,101,1,1159
1,0,1597,1,7,9,63,0,2970
1,0,574,2,7,7,66,1,1711
2,0,19,2,1,15,51,0,1211
2,0,73,1,2,0,222,0,1514
1,0,338,0,1,10,116,0,1649
1,0,1527,1,1,10,245,1,789
2,0,95,0,5,2,81,1,1280
2,0,69,1,5,10,173,1,1182
0,4,2266,2,3,12,260,2,2727
1,0,885,2,7,9,251,1,2299
2,0,56,0,5,14,129,2,1174
1,0,1370,1,6,5,71,2,1507
2,0,42,1,5,14,264,3,4158
2,0,5,2,1,5,281,1,1107
2,0,13,1,2,1,128,0,2048
0,3,3849,2,7,0,125,2,1423
2,0,50,1,7,8,130,3,3191
2,0,50,0,4,7,212,0,1846
2,0,3,0,7,6,270,3,2399
0,1,9445,1,3,14,220,2,3582
0,1,4197,0,2,9,210,3,3538
1,0,600,0,6,15,209,1,1622
0,3,1720,0,1,0,53,2,1387
1,0,1890,1,3,4,73,3,2262
0,5,601,1,4,3,53,3,2729
0,2,6894,2,7,0,53,3,2026
1,0,636,2,4,8,132,0,1802
1,0,1201,1,2,1,212,3,2761
2,0,48,2,3,6,240,2,976
0,2,5442,1,3,3,183,3,2522
1,0,236,2,4,7,295,0,2457
0,4,3388,0,3,3,222,3,3559
1,0,1084,1,2,11,102,0,1472
2,0,95,1,2,13,295,3,3060
0,1,5698,1,1,10,120,1,2790
1,0,780,1,7,1,56,2,1916
2,0,2,0,2,6,134,3,2809
2,0,75,2,6,4,111,2,1696
1,0,495,0,3,8,282,1,1648
2,0,95,1,2,10,186,2,1208
2,0,43,2,1,9,59,3,2439
0,3,6716,2,3,9,191,0,2999
1,0,1840,2,6,3,299,1,1471
1,0,1386,0,5,6,55,0,2471
0,1,3717,0,5,8,179,3,2899
2,0,71,1,1,13,71,3,2163
2,0,46,1,1,0,79,2,1182
2,0,85,0,7,15,162,0,2897
0,3,3745,2,1,14,292,0,2056
2,0,78,1,7,14,161,3,3026
1,0,1046,1,1,4,218,2,1084
0,1,9915,0,5,5,54,0,4122
0,1,1181,0,3,14,232,1,1888
0,4,4044,1,2,10,194,0,2960
2,0,1,1,7,7,91,2,1761
1,0,983,0,3,2,105,3,3168
0,2,5151,1,7,8,158,1,980
1,0,810,2,7,2,72,2,1557
0,2,5711,2,4,11,153,2,1523
0,3,4670,2,6,1,125,0,2551
0,3,6862,0,7,12,52,2,3198
0,5,8095,0,4,5,137,2,4960
2,0,18,1,4,10,74,3,2735
1,0,1780,0,2,11,80,3,1581
0,1,2764,2,1,13,232,1,1998
0,3,2061,1,4,12,120,1,1734
0,2,8886,0,3,14,268,3,2797
0,4,1703,0,7,4,151,2,2409
1,0,1479,2,5,4,257,3,2429
1,0,1751,0,6,0,242,0,2389
2,0,58,2,3,6,249,2,1906
2,0,6,0,2,14,68,3,1550
2,0,64,2,6,11,152,1,875
0,4,543,1,7,13,216,1,1574
2,0,20,1,3,12,246,2,1870
2,0,67,2,3,14,163,3,2123
2,0,52,2,5,4,61,3,1937
2,0,59,1,4,11,247,1,1332
0,3,7896,0,3,3,160,1,1559
2,0,78,1,3,6,238,0,1042
0,4,5270,1,1,3,140,2,3307
0,5,1312,2,2,7,281,0,2544
1,0,848,1,6,14,268,2,2384
1,0,718,1,4,12,292,0,1843
0,2,8798,2,6,12,97,0,2161
1,0,575,0,3,7,180,1,1517
1,0,1838,0,2,8,243,2,1324
1,0,1279,0,6,11,64,1,1348
0,5,9313,2,3,10,145,1,4257
2,0,41,0,2,14,193,3,3037
1,0,1282,2,5,9,140,1,1069
0,5,6938,0,6,11,237,3,5391
